id,date,price,zipcode,lat,long,sn_compra,condition_type,sell_price,profit,season,regional_median
7129300520,2014-10-13,221900.0,98178,47.5112,-122.257,n,regular,0.0,0.0,fall,279000.0
6414100192,2014-12-09,538000.0,98125,47.721,-122.319,n,regular,0.0,0.0,winter,425000.0
5631500400,2015-02-25,180000.0,98028,47.7379,-122.233,n,regular,0.0,0.0,winter,442500.0
2487200875,2014-12-09,604000.0,98136,47.5208,-122.393,n,good,0.0,0.0,winter,489950.0
1954400510,2015-02-18,510000.0,98074,47.6168,-122.045,n,regular,0.0,0.0,winter,645000.0
7237550310,2014-05-12,1225000.0,98053,47.6561,-122.005,n,regular,0.0,0.0,spring,635000.0
1321400060,2014-06-27,257500.0,98003,47.3097,-122.327,n,regular,0.0,0.0,summer,266500.0
2008000270,2015-01-15,291850.0,98198,47.4095,-122.315,n,regular,0.0,0.0,winter,265000.0
2414600126,2015-04-15,229500.0,98146,47.5123,-122.337,n,regular,0.0,0.0,spring,309000.0
3793500160,2015-03-12,323000.0,98038,47.3684,-122.031,n,regular,0.0,0.0,spring,342000.0
1736800520,2015-04-03,662500.0,98007,47.6007,-122.145,n,regular,0.0,0.0,spring,555000.0
9212900260,2014-05-27,468000.0,98115,47.69,-122.292,n,regular,0.0,0.0,spring,564750.0
114101516,2014-05-28,310000.0,98028,47.7558,-122.229,n,regular,0.0,0.0,spring,442500.0
6054650070,2014-10-07,400000.0,98074,47.6127,-122.045,n,regular,0.0,0.0,fall,645000.0
1175000570,2015-03-12,530000.0,98107,47.67,-122.394,n,regular,0.0,0.0,spring,529950.0
9297300055,2015-01-24,650000.0,98126,47.5714,-122.375,n,regular,0.0,0.0,winter,395750.0
1875500060,2014-07-31,395000.0,98019,47.7277,-121.962,n,regular,0.0,0.0,summer,401250.0
6865200140,2014-05-29,485000.0,98103,47.6648,-122.343,n,regular,0.0,0.0,spring,550000.0
16000397,2014-12-05,189000.0,98002,47.3089,-122.21,n,regular,0.0,0.0,winter,235000.0
7983200060,2015-04-24,230000.0,98003,47.3343,-122.306,n,regular,0.0,0.0,spring,266500.0
6300500875,2014-05-14,385000.0,98133,47.7025,-122.341,n,regular,0.0,0.0,spring,373000.0
2524049179,2014-08-26,2000000.0,98040,47.5316,-122.233,n,regular,0.0,0.0,summer,993750.0
7137970340,2014-07-03,285000.0,98092,47.3266,-122.169,n,regular,0.0,0.0,summer,309780.0
8091400200,2014-05-16,252700.0,98030,47.3533,-122.166,n,regular,0.0,0.0,spring,282510.0
3814700200,2014-11-20,329000.0,98030,47.3739,-122.172,n,regular,0.0,0.0,fall,282510.0
1202000200,2014-11-03,233000.0,98002,47.3048,-122.218,y,good,0.0,0.0,fall,235000.0
1794500383,2014-06-26,937000.0,98119,47.6386,-122.36,n,regular,0.0,0.0,summer,744975.0
3303700376,2014-12-01,667000.0,98112,47.6221,-122.314,y,good,0.0,0.0,winter,912500.0
5101402488,2014-06-24,438000.0,98115,47.695,-122.304,n,regular,0.0,0.0,summer,564750.0
1873100390,2015-03-02,719000.0,98052,47.7073,-122.11,n,regular,0.0,0.0,spring,615000.0
8562750320,2014-11-10,580500.0,98027,47.5391,-122.07,n,regular,0.0,0.0,fall,571000.0
2426039314,2014-12-01,280000.0,98133,47.7274,-122.357,n,regular,0.0,0.0,winter,373000.0
461000390,2014-06-24,687500.0,98117,47.6823,-122.368,n,regular,0.0,0.0,summer,542500.0
7589200193,2014-11-10,535000.0,98117,47.6889,-122.375,n,regular,0.0,0.0,fall,542500.0
7955080270,2014-12-03,322500.0,98058,47.4276,-122.157,n,regular,0.0,0.0,winter,335000.0
9547205180,2014-06-13,696000.0,98115,47.6827,-122.31,n,regular,0.0,0.0,summer,564750.0
9435300030,2014-05-28,550000.0,98052,47.6621,-122.132,n,bad,0.0,0.0,spring,615000.0
2768000400,2014-12-30,640000.0,98107,47.6702,-122.362,n,regular,0.0,0.0,winter,529950.0
7895500070,2015-02-13,240000.0,98001,47.3341,-122.282,n,bad,0.0,0.0,winter,260000.0
2078500320,2014-06-20,605000.0,98056,47.5301,-122.18,n,regular,0.0,0.0,summer,380000.0
5547700270,2014-07-15,625000.0,98074,47.6145,-122.027,n,regular,0.0,0.0,summer,645000.0
7766200013,2014-08-11,775000.0,98166,47.445,-122.347,n,regular,0.0,0.0,summer,390000.0
7203220400,2014-07-07,861990.0,98053,47.6848,-122.016,n,regular,0.0,0.0,summer,635000.0
9270200160,2014-10-28,685000.0,98119,47.6413,-122.364,n,regular,0.0,0.0,fall,744975.0
1432701230,2014-07-29,309000.0,98058,47.4485,-122.175,n,regular,0.0,0.0,summer,335000.0
8035350320,2014-07-18,488000.0,98019,47.7443,-121.977,n,regular,0.0,0.0,summer,401250.0
8945200830,2015-03-25,210490.0,98023,47.3066,-122.371,n,regular,0.0,0.0,spring,268750.0
4178300310,2014-07-16,785000.0,98007,47.6194,-122.151,n,regular,0.0,0.0,summer,555000.0
9215400105,2015-04-28,450000.0,98115,47.6796,-122.301,n,regular,0.0,0.0,spring,564750.0
822039084,2015-03-11,1350000.0,98070,47.4041,-122.451,n,good,0.0,0.0,spring,465000.0
5245600105,2014-09-16,228000.0,98148,47.4258,-122.322,n,regular,0.0,0.0,fall,274000.0
7231300125,2015-02-17,345000.0,98056,47.4934,-122.189,n,regular,0.0,0.0,winter,380000.0
7518505990,2014-12-31,600000.0,98117,47.6808,-122.384,n,regular,0.0,0.0,winter,542500.0
