id,lat,long,street,house_num,city,neighbourhood,state,address
3352402236,47.498,-122.263,Beacon Avenue South,11708,Seattle,King County,Washington,"Beacon Avenue South, 11708"
185000118,47.495,-122.266,56th Place South,12028,Seattle,King County,Washington,"56th Place South, 12028"
8068000585,47.5071,-122.265,55th Avenue South,10425,Seattle,Rainier Beach,Washington,"55th Avenue South, 10425"
7129300420,47.5111,-122.256,62nd Avenue South,10017,Seattle,Rainier Beach,Washington,"62nd Avenue South, 10017"
1180008315,47.492,-122.224,South 124th Street,8536,Seattle,King County,Washington,"South 124th Street, 8536"
4058801065,47.5031,-122.242,Woodley Avenue South,11128,Seattle,King County,Washington,"Woodley Avenue South, 11128"
4279900140,47.5008,-122.257,61st Avenue South,11410,Seattle,King County,Washington,"61st Avenue South, 11410"
3348401622,47.5003,-122.269,South Augusta Street,5130,Seattle,King County,Washington,"South Augusta Street, 5130"
4060000290,47.5002,-122.247,70th Place South,11457,Seattle,King County,Washington,"70th Place South, 11457"
2144800146,47.4865,-122.238,76th Avenue South,13010,Seattle,Bryn Mawr,Washington,"76th Avenue South, 13010"
2126049032,47.7231,-122.301,Northeast 130th Street,2520,Seattle,King County,Washington,"Northeast 130th Street, 2520"
4427100105,47.7272,-122.311,16th Avenue Northeast,13519,Seattle,King County,Washington,"16th Avenue Northeast, 13519"
9324800110,47.7336,-122.29,36th Avenue Northeast,14357,Seattle,Cedar Park,Washington,"36th Avenue Northeast, 14357"
1454100056,47.7232,-122.289,Northeast 130th Street,3542,Seattle,Cedar Park,Washington,"Northeast 130th Street, 3542"
4427100025,47.7276,-122.312,15th Place Northeast,13539,Seattle,King County,Washington,"15th Place Northeast, 13539"
6381500065,47.7326,-122.307,20th Avenue Northeast,14316,Seattle,King County,Washington,"20th Avenue Northeast, 14316"
6413100311,47.7143,-122.32,Northeast 117th Street,808,Seattle,King County,Washington,"Northeast 117th Street, 808"
6414100133,47.7207,-122.32,Roosevelt Way Northeast,12551,Seattle,King County,Washington,"Roosevelt Way Northeast, 12551"
6413600285,47.7192,-122.32,Northeast 125th Street,819,Seattle,King County,Washington,"Northeast 125th Street, 819"
8822900115,47.7175,-122.292,Northeast 123rd Street,3316,Seattle,King County,Washington,"Northeast 123rd Street, 3316"
5667100025,47.72,-122.318,Northeast 126th Street,1003,Seattle,King County,Washington,"Northeast 126th Street, 1003"
3649100320,47.7405,-122.241,75th Avenue Northeast,15415,NA,King County,Washington,"75th Avenue Northeast, 15415"
8718500075,47.7403,-122.256,64th Avenue Northeast,15406,NA,King County,Washington,"64th Avenue Northeast, 15406"
3818700016,47.7647,-122.263,Northeast 188th Place,6133,NA,King County,Washington,"Northeast 188th Place, 6133"
5631500905,47.7477,-122.232,Northeast 165th Street,8183,NA,King County,Washington,"Northeast 165th Street, 8183"
114100297,47.7769,-122.25,Northeast 204th Street,6801,NA,King County,Washington,"Northeast 204th Street, 6801"
6181700250,47.7598,-122.255,Northeast 181st Street,6440,NA,King County,Washington,"Northeast 181st Street, 6440"
3013301525,47.5286,-122.383,Southwest Thistle Street,4000,Seattle,King County,Washington,"Southwest Thistle Street, 4000"
2594200375,47.5142,-122.389,44th Avenue Southwest,9855,Seattle,King County,Washington,"44th Avenue Southwest, 9855"
7104100050,47.5499,-122.394,48th Avenue Southwest,5909,Seattle,Morgan Junction,Washington,"48th Avenue Southwest, 5909"
312000295,47.5569,-122.394,48th Avenue Southwest,5021,Seattle,King County,Washington,"48th Avenue Southwest, 5021"
1090000075,47.5319,-122.391,Southwest Kenyon Place,4437,Seattle,King County,Washington,"Southwest Kenyon Place, 4437"
7504180070,47.619,-122.054,Northeast 10th Place,21412,NA,King County,Washington,"Northeast 10th Place, 21412"
3575301550,47.6175,-122.065,206th Place Northeast,1298,NA,King County,Washington,"206th Place Northeast, 1298"
8653600050,47.6144,-122.067,205th Avenue Northeast,469,NA,King County,Washington,"205th Avenue Northeast, 469"
3575302880,47.6205,-122.063,Northeast Inglewood Hill Road,20798,NA,King County,Washington,"Northeast Inglewood Hill Road, 20798"
8562901010,47.6082,-122.057,211th Place Southeast,124,NA,King County,Washington,"211th Place Southeast, 124"
203900610,47.6384,-121.969,Northeast Ames Lake Road,27748,NA,King County,Washington,"Northeast Ames Lake Road, 27748"
